tradspell,augmented,freq,rank
dreamed,drêàmèd,8349,0.00771
pierre,pïerr0è,8350,0.00771
episodes,episôdèś,8351,0.00771
politely,pólîtèlý,8353,0.00771
potent,pôtént,8354,0.00771
trim,trim,8355,0.00771
attachment,átt0aĉħmént,8356,0.00771
everton,evèŕtón,8357,0.00771
nod,nod,8359,0.00771
hamlet,hamlét,8360,0.0077
destiny,destíný,8361,0.0077
postponed,pôstpônèd,8362,0.0077
brands,brandś,8363,0.0077
cranston,cranstón,8364,0.0077
steward,stëwàŕd,8365,0.0077
flooded,floódėd,8366,0.0077
insights,insîg0ħts,8367,0.0077
finances,fînançėś,8368,0.0077
behaved,bėhâvèd,8369,0.00769
jenkins,jeñkinś,8370,0.00768
histories,histórïèś,8371,0.00768
progressively,progress0ivèlý,8372,0.00768
wendy,wendý,8373,0.00768
journeys,jòùŕnêy0ś,8374,0.00768
disks,disks,8375,0.00767
node,nôdè,8376,0.00767
portraits,pør#traíts,8377,0.00767
teddy,tedd0ý,8378,0.00767
exeter,exėtèŕ,8379,0.00767
georgia,ĝèør#ĝiá,8380,0.00767
zoo,zöò,8382,0.00766
jennifer,jenn0ífèŕ,8383,0.00766
cultivation,cultivâţìòn,8384,0.00766
superficial,süpèŕfićiál,8385,0.00766
handing,handiñg0,8386,0.00766
stimulating,stimûlâtiñg0,8387,0.00766
curled,cùŕlèd,8388,0.00765
persian,pèŕŝián,8389,0.00765
sceptical,scepticál,8390,0.00765
cemetery,çeméterý,8391,0.00765
disguise,disgùîśè,8392,0.00765
honorary,ħonòŕãrý,8393,0.00765
casually,caŝυáll0ý,8394,0.00765
highlands,hîg0ħlándś,8395,0.00765
warden,wårdén,8396,0.00765
benefited,benéfitėd,8397,0.00764
slender,slendèŕ,8398,0.00764
wiltshire,wiltŝħîrè,8399,0.00764
sorting,sør#tiñg0,8400,0.00764
wasting,wâstiñg0,8401,0.00764
relieve,rėlïèvè,8402,0.00764
franchise,franĉħîśè,8403,0.00764
sharpe,ŝħārpè,8404,0.00764
weakened,wêàkénèd,8405,0.00764
envy,envý,8406,0.00763
baltic,båltic,8407,0.00763
prediction,prêdicţìòn,8408,0.00763
fisheries,fiŝħèŕïèś,8409,0.00763
sundays,sundây0ś,8410,0.00763
overlooking,ôvèŕlōòkiñg0,8411,0.00762
barcelona,bārçėlôná,8412,0.00762
strains,strâìnś,8413,0.00762
bees,bêèś,8414,0.00761
tossed,tøss0èð,8415,0.00761
supervisor,süpèŕvîśòŕ,8417,0.00761
thighs,πħîg0ħś,8418,0.00761
thou,τħõù,8419,0.00761
hannah,hann0áħ,8420,0.00761
disposed,dispôśèd,8421,0.00761
con,con,8422,0.00761
smiths,smiπħs,8423,0.0076
ideals,îdêàlś,8424,0.0076
manifesto,manifestô,8425,0.0076
circus,çìŕcus,8426,0.0076
disco,discô,8427,0.0076
predators,predátòŕś,8428,0.0076
convictions,cónvicţìònś,8429,0.0076
biblical,biblícál,8430,0.0076
repeating,rėpêàtiñg0,8431,0.0076
gasped,gaspèð,8432,0.00759
peel,pêèl,8433,0.00759
nigeria,nîĝėrïá,8434,0.00759
obstacles,obstáclès,8435,0.00759
monarch,monārcħ,8436,0.00759
counterpart,cõùntèŕpārt,8437,0.00759
demonstrators,demónstrâtòŕś,8438,0.00758
dash,daŝħ,8439,0.00758
gardener,gārdénèŕ,8440,0.00758
bolt,bôlt,8441,0.00758
julius,jülĩus,8442,0.00758
grazing,grâziñg0,8443,0.00758
hectares,hectārèś,8444,0.00758
englishman,ėñgliŝħmán,8445,0.00758
commanded,cómm0andėd,8446,0.00758
whistle,wħistlè,8447,0.00758
recognising,recógnîśiñg0,8448,0.00758
guild,gùild,8449,0.00757
rosie,rôśïè,8450,0.00757
dusty,dustý,8451,0.00757
flock,flock0,8452,0.00757
nail,nâìl,8453,0.00757
conditioning,cóndiţìòniñg0,8454,0.00757
cassette,cáss0ett0è,8455,0.00757
integrate,intégrâtè,8456,0.00756
thief,πħïèf,8457,0.00756
czech,ĉz0ecħ,8458,0.00756
strengthening,streñg0πħéniñg0,8459,0.00756
clinics,clinics,8460,0.00756
supporter,supp0ør#tèŕ,8461,0.00756
correspond,cør#réspond,8463,0.00756
hopeless,hôpèléss0,8464,0.00756
vocal,vôcál,8465,0.00755
trainers,trâìnèŕś,8466,0.00755
locomotive,lôcómôtivè,8467,0.00755
concludes,cónclüdèś,8468,0.00755
ceasefire,çêàsèfîŕè,8469,0.00755
minton,mintón,8472,0.00755
defect,dêfect,8473,0.00754
conspicuous,cónspicûòús,8474,0.00754
vigorously,vigòŕòúslý,8475,0.00754
ulcerative,ulçèŕátivè,8476,0.00754
preceded,prėçêdėd,8477,0.00754
snake,snâkè,8478,0.00754
kissing,kiss0iñg0,8480,0.00753
justices,justiçėś,8481,0.00753
backgrounds,back0grõùndś,8482,0.00753
poster,pôstèŕ,8483,0.00753
vein,vein,8484,0.00753
sweets,swêèts,8485,0.00753
incorporating,incør#pórâtiñg0,8486,0.00753
demonstrating,demónstrâtiñg0,8487,0.00753
spends,spendś,8488,0.00753
insect,insect,8489,0.00753
molecule,molécûlè,8490,0.00753
khan,kħān,8491,0.00753
transcription,transcripţìòn,8492,0.00752
spurs,spùŕś,8493,0.00752
suffers,suff0èŕś,8494,0.00752
providers,próvîdèŕś,8495,0.00752
dumb,dumb0,8497,0.00752
brutal,brütál,8498,0.00752
consultative,cónsultátivè,8499,0.00752
whales,wħâlèś,8500,0.00752
coral,cør#ál,8501,0.00752
yelled,yell0èd,8502,0.00751
shiny,ŝħîný,8504,0.00751
rosemary,rôśèmãrý,8505,0.00751
copied,copïèd,8506,0.0075
slot,slot,8507,0.0075
segment,segmént,8508,0.0075
sanctuary,sañcťüãrý,8509,0.0075
brewery,brëwérý,8510,0.0075
denial,dėnîál,8511,0.0075
microphone,mîcróþħônè,8512,0.0075
diploma,diplômá,8513,0.0075
classics,class0ics,8514,0.00749
problematic,problématic,8515,0.00749
batteries,batt0érïèś,8516,0.00749
ernest,èŕnést,8517,0.00749
ruins,rüinś,8518,0.00749
deposited,dépośitėd,8519,0.00749
constrained,cónstrâìnèd,8520,0.00749
suppressed,supp0ress0èð,8521,0.00749
connect,cónn0ect,8522,0.00748
dolly,doll0ý,8523,0.00748
wesley,weslêy0,8525,0.00748
blocking,block0iñg0,8526,0.00748
rebuilt,rêbùilt,8528,0.00748
waiter,wâìtèŕ,8529,0.00748
rack,rack0,8530,0.00747
lanka,lañká,8531,0.00747
betrayed,bėtrây0èd,8532,0.00747
discs,discs,8533,0.00747
saddle,sadd0lè,8535,0.00747
ignorant,ignòŕánt,8536,0.00746
shareholder,ŝħãŕèhôldèŕ,8537,0.00746
poetic,pôetic,8538,0.00746
bundle,bundlè,8539,0.00746
weaker,wêàkèŕ,8540,0.00746
valve,valvè,8541,0.00746
survivors,sùŕvîvòŕś,8544,0.00746
topped,topp0èð,8545,0.00745
defective,dėfectivè,8546,0.00745
progressed,prógress0èð,8547,0.00745
scarce,scãrçè,8548,0.00745
reconciliation,recónçilïâţìòn,8549,0.00745
deterioration,dėtėrïórâţìòn,8550,0.00745
imaginary,imaĝínãrý,8551,0.00745
cuba,cûbá,8552,0.00745
disagree,diságrêè,8553,0.00745
abused,ábûśèd,8555,0.00745
archives,ārcħîvèś,8556,0.00745
blaze,blâzè,8557,0.00745
doll,doll0,8558,0.00745
additions,ádd0iţìònś,8559,0.00744
taxpayer,taxpây0èŕ,8560,0.00744
painters,pâìntèŕś,8561,0.00744
reminds,rêmîndś,8562,0.00744
artillery,ārtill0érý,8563,0.00744
hazards,hazàŕdś,8564,0.00744
widened,wîdénèd,8565,0.00744
screw,scrëw0,8566,0.00743
personalities,pèŕsónalitïèś,8567,0.00743
accidental,acçídentál,8568,0.00743
darker,dārkèŕ,8569,0.00743
religions,rêliĝiónś,8570,0.00743
tweed,twêèd,8571,0.00743
pledged,pledĝèd,8572,0.00742
ratings,râtiñg0ś,8573,0.00742
prestigious,prestiĝiòús,8574,0.00742
irregular,irr0egûlàŕ,8575,0.00742
distinctions,distiñcţìònś,8576,0.00742
workstation,wòŕkstâţìòn,8577,0.00742
refuses,réfûśéś,8578,0.00742
fighters,fîg0ħtèŕś,8580,0.00742
cousins,couśínś,8582,0.00742
racist,râçist,8583,0.00742
bankrupt,bañkrupt,8584,0.00742
plainly,plâìnlý,8585,0.00741
faintly,fâìntlý,8586,0.00741
trio,trïô,8587,0.00741
outright,õùtrîg0ħt,8588,0.00741
optimal,optímál,8589,0.00741
glared,glãrèd,8590,0.00741
revived,rėvîvèd,8591,0.00741
currencies,curr0énçïèś,8592,0.00741
procession,próçeŝŝ0ìòn,8593,0.0074
scenario,sc0ėnãrïô,8594,0.0074
downwards,dõwnwàŕdś,8595,0.0074
testimony,testímôný,8596,0.0074
reporters,rėpør#tèŕś,8597,0.0074
cardboard,cārdbøàŕd,8599,0.0074
progression,prógreŝŝ0ìòn,8600,0.0074
comprised,cómprîśèd,8601,0.0074
morrissey,mør#r0iss0êy0,8602,0.00739
numbered,numbèŕèd,8603,0.00739
herald,heráld,8604,0.00739
detained,dėtâìnèd,8605,0.00739
editing,editiñg0,8606,0.00739
diarrhoea,dîàŕrħòêá,8607,0.00739
dragging,dragg0iñg0,8608,0.00739
containers,cóntâìnèŕś,8609,0.00739
faction,facţìòn,8610,0.00739
demographic,demógraþħic,8611,0.00739
obey,ôbey,8612,0.00739
hatch,hatĉħ,8613,0.00739
magistrate,maĝistrâtè,8614,0.00739
chiefly,ĉħïèflý,8615,0.00738
europeans,èûrópêánś,8616,0.00738
stirring,stìŕr0iñg0,8617,0.00738
inputs,inpūts,8619,0.00738
alarmed,álārmèd,8620,0.00738
dale,dâlè,8621,0.00738
theological,πħêóloĝicál,8622,0.00738
positioned,póśiţìònèd,8623,0.00737
impulse,impulsè,8624,0.00737
adjoining,ádjσìniñg0,8625,0.00737
pastoral,pastòŕál,8626,0.00737
norwegian,nør#wêĝián,8627,0.00737
repayment,rêpây0mént,8628,0.00737
bind,bînd,8629,0.00737
merrill,merr0íll0,8630,0.00737
slides,slîdèś,8631,0.00737
terrorists,terr0órìsts,8632,0.00737
alexei,álexei,8633,0.00737
serbs,sèŕbś,8636,0.00736
sufferers,suff0érèŕś,8638,0.00736
births,bìŕπħs,8639,0.00736
ripped,ripp0èð,8640,0.00736
realising,rêálîśiñg0,8641,0.00736
stabbed,stabb0èd,8642,0.00735
transitional,transiţìònál,8643,0.00735
wires,wîrèś,8644,0.00735
halted,håltėd,8645,0.00735
consecutive,cónsecûtivè,8646,0.00735
transparent,transpãrént,8647,0.00735
tribe,trîbè,8649,0.00735
exhibited,ėxħibítéd,8651,0.00734
corridors,cør#r0idòŕś,8652,0.00734
postal,pôstál,8653,0.00734
anticipate,antiçípâtè,8655,0.00734
editions,ėdiţìònś,8656,0.00734
stamped,stampèð,8657,0.00734
diagnosed,dîágnôsèð,8658,0.00734
grouping,gröùpiñg0,8659,0.00734
juvenile,jüvénîlè,8660,0.00734
excellence,exc0éll0énçè,8661,0.00733
terminals,tèŕmínálś,8663,0.00733
cholesterol,cħólestéròl,8664,0.00733
ecological,ecóloĝicál,8665,0.00733
proliferation,prôliférâţìòn,8666,0.00733
proceeding,próçêèdiñg0,8667,0.00733
worcester,wōr0c0èstèŕ,8668,0.00733
innovations,inn0óvâţìònś,8669,0.00733
textile,textîlè,8670,0.00733
fabrics,fabrics,8671,0.00733
armchair,ārmĉħãìŕ,8672,0.00733
parcel,pārçél,8674,0.00732
undermined,undèŕmînèd,8675,0.00732
sponsor,sponsòŕ,8676,0.00732
notices,nôtiçėś,8677,0.00732
zambia,zambïá,8679,0.00732
cloak,clôàk,8680,0.00732
interpreting,intèŕpretiñg0,8681,0.00732
workings,wòŕkiñg0ś,8682,0.00732
confessed,cónfess0èð,8683,0.00732
dump,dump,8684,0.00732
regards,rėgārdś,8685,0.00731
composite,compośítè,8686,0.00731
clutching,clutĉħiñg0,8687,0.00731
ironic,îronic,8688,0.00731
soils,sσìlś,8690,0.00731
beginnings,bėginn0iñg0ś,8691,0.00731
marxism,mārxiśm,8692,0.00731
donations,dônâţìònś,8693,0.0073
cooling,cöòliñg0,8694,0.0073
economist,ėconómist,8695,0.0073
timothy,timóπħý,8696,0.0073
gloria,glør#ïá,8697,0.0073
evaluated,ėvalûâtéd,8698,0.0073
waking,wâkiñg0,8699,0.0073
evenly,êvénlý,8700,0.0073
receipts,rėçêìp0ts,8701,0.0073
thoughtfully,πħøùg0ħtfull0ý,8703,0.0073
grove,grôvè,8704,0.00729
purse,pùŕsè,8705,0.00729
attribute,átt0ribûtè--HETERONYM--att0ribûtè,8706,0.00729
fifteenth,fiftêènπħ,8707,0.00729
philippines,þħilípp0ïnèś,8708,0.00729
insert,insèŕt,8709,0.00729
curtis,cùŕtís,8710,0.00729
span,span,8711,0.00729
diagnostic,dîágnostic,8712,0.00729
bowls,bôw0lś,8713,0.00729
fishermen,fiŝħèŕmén,8716,0.00728
collectors,cóll0ectòŕś,8717,0.00728
airways,ãìŕwây0ś,8718,0.00728
housework,hõùsèwòŕk,8719,0.00728
communal,cómm0ûnál,8720,0.00728
nephew,neþħëw,8721,0.00728
nobility,nôbilítý,8722,0.00728
maternal,mátèŕnál,8723,0.00728
tore,tør#è,8725,0.00727
notwithstanding,notwiπħstandiñg0,8726,0.00727
ellie,ell0ïè,8727,0.00727
eagerly,êàgèŕlý,8728,0.00727
slumped,slumpèð,8729,0.00727
legitimacy,lėĝitímáçý,8730,0.00726
astonished,ástoniŝħèð,8731,0.00726
sandra,sandrá,8733,0.00726
strode,strôdè,8734,0.00726
vic,vic,8735,0.00726
nervously,nèŕvòúslý,8736,0.00726
sunk,suñk,8737,0.00726
mips,mips,8738,0.00726
wards,wårdś,8739,0.00726
sparc,spārc,8740,0.00726
fearful,fėàŕful,8741,0.00726
severity,sėveritý,8742,0.00726
litter,litt0èŕ,8743,0.00726
raced,râçèð,8744,0.00725
subsidy,subsídý,8745,0.00725
impatient,impâţiént,8746,0.00725
asserted,áss0èŕtéd,8747,0.00725
procedural,próçêδùŕál,8748,0.00725
tackling,tack0liñg0,8749,0.00725
hazardous,hazàŕdòús,8750,0.00724
perfection,pèŕfecţìòn,8752,0.00724
honesty,ħonéstý,8753,0.00724
fireplace,fîŕèplâçè,8755,0.00724
ducks,duck0s,8756,0.00724
branson,bransón,8757,0.00724
purity,pûritý,8758,0.00724
noon,nöòn,8760,0.00724
moisture,mσìsťùŕè,8761,0.00724
snatched,snatĉħèð,8762,0.00724
posted,pôstėd,8763,0.00723
hopeful,hôpèful,8764,0.00723
breeds,brêèdś,8765,0.00723
fuller,fūll0èŕ,8766,0.00723
horrified,hør#rífîèd,8767,0.00722
civilization,çivílizâţìòn,8768,0.00722
corpus,cør#pus,8769,0.00722
mergers,mèŕĝèŕś,8770,0.00722
joking,jôkiñg0,8771,0.00722
confront,cónfrónt,8773,0.00721
infinitive,infinítivè,8774,0.00721
tolerance,toleránçè,8775,0.00721
unification,ûnífícâţìòn,8776,0.00721
marital,mãrítál,8777,0.00721
briefing,brïèfiñg0,8779,0.00721
prevents,prėvents,8780,0.00721
foliage,fôlïáĝè,8781,0.00721
cellular,çell0ûlàŕ,8782,0.00721
wax,wax,8783,0.00721
rug,rug,8784,0.0072
donated,dônâtėd,8785,0.0072
oddly,odd0lý,8786,0.0072
dubious,dübïòús,8787,0.0072
plight,plîg0ħt,8788,0.0072
christina,cħristïná,8790,0.0072
belinda,bélindá,8791,0.0072
cheers,ĉħėèrś,8792,0.00719
assistants,áss0istánts,8793,0.00719
socialists,sôćiálísts,8794,0.00719
readings,rêàdiñg0ś,8795,0.00719
activated,activâtėd,8796,0.00719
secretly,sêcrėtlý,8797,0.00719
palestinians,palėstinïánś,8798,0.00719
penal,pênál,8799,0.00719
rupert,rüpèŕt,8800,0.00719
tribal,trîbál,8801,0.00719
demolished,dėmoliŝħèð,8802,0.00719
opt,opt,8803,0.00719
wholesale,w0hôlèsâlè,8804,0.00719
vintage,vintáĝè,8805,0.00719
monument,monûmént,8806,0.00718
trout,trõùt,8807,0.00718
libya,libýá,8808,0.00718
trolley,troll0êy0,8809,0.00718
maternity,mátèŕnitý,8810,0.00718
kindness,kîndnéss0,8811,0.00718
arisen,áriśén,8812,0.00718
guitars,gùitārś,8813,0.00718
derry,derr0ý,8814,0.00717
outsiders,õùtsîdèŕś,8815,0.00717
wears,weàŕś,8816,0.00717
poole,pöòlè,8817,0.00717
bitterness,bitt0èŕnéss0,8818,0.00717
squared,sqυãŕèd,8819,0.00717
drafted,draftėd,8821,0.00716
cautiously,cåùţióùslý,8822,0.00716
pearl,pèàŕl,8823,0.00716
austrian,åùstrïán,8824,0.00716
upward,upwàŕd,8826,0.00716
loading,lôàdiñg0,8827,0.00715
daring,dãriñg0,8828,0.00715
admittedly,admitt0ėdlý,8829,0.00715
hints,hints,8830,0.00715
clashes,claŝħėś,8831,0.00714
strokes,strôkès,8832,0.00714
cocktail,cock0tâìl,8833,0.00714
lifts,lifts,8835,0.00714
elementary,elémentàŕý,8836,0.00714
orkney,ør#knêy0,8837,0.00714
retailers,rêtâìlèŕś,8838,0.00714
currents,curr0énts,8839,0.00714
suitably,süìtáblý,8840,0.00714
unlimited,unlimitėd,8841,0.00714
dip,dip,8842,0.00714
bullet,būll0ét,8843,0.00714
render,rendèŕ,8844,0.00714
en,en,8845,0.00713
preserving,prėśèŕviñg0,8846,0.00713
sounding,sõùndiñg0,8847,0.00713
impressions,impreŝŝ0ìònś,8848,0.00713
bust,bust,8849,0.00713
retiring,rėtîriñg0,8850,0.00713
discovering,discóvériñg0,8851,0.00713
farewell,fãrèwell0,8852,0.00713
header,heàdèŕ,8853,0.00713
jealousy,jeàlòúsý,8854,0.00713
tutors,tütòŕś,8855,0.00713
infections,infecţìònś,8856,0.00713
sharon,ŝħarón,8857,0.00713
benny,benn0ý,8858,0.00712
platelet,plâtèlét,8859,0.00712
mansell,manséll0,8860,0.00712
saunders,såùndèŕś,8861,0.00712
incomplete,incómplêtè,8862,0.00712
contradictory,contrádictórý,8863,0.00711
rifle,rîflè,8864,0.00711
nationality,naţìònalítý,8865,0.00711
thickness,πħick0néss0,8866,0.00711
preferable,prefèráblè,8867,0.0071
surveyor,sùŕveyòŕ,8868,0.0071
insisting,insistiñg0,8869,0.0071
cosy,côśý,8870,0.0071
accusations,acc0ûśâţìònś,8871,0.0071
fines,fînèś,8872,0.0071
swollen,swôll0én,8873,0.0071
salon,sálon,8874,0.0071
singh,siñg0ħ,8875,0.0071
hosts,hôsts,8876,0.0071
pony,pôný,8877,0.0071
bred,bred,8878,0.00709
archaeology,ārcħàêolóĝý,8879,0.00709
proclaimed,prôclâìmèd,8880,0.00709
kite,kîtè,8881,0.00709
exercising,exèŕçîśiñg0,8882,0.00709
predecessors,predéçess0òŕś,8883,0.00709
bids,bidś,8884,0.00709
vale,vâlè,8885,0.00709
weary,wėárý,8886,0.00708
robust,rôbust,8887,0.00708
auguste,åùgustè,8888,0.00708
sotheby,soπħébý,8889,0.00708
lesbian,leśbïán,8890,0.00708
numerical,nümericál,8891,0.00708
sinister,sinistèŕ,8892,0.00708
se,sĕ0,8893,0.00708
chaired,ĉħãìŕèd,8894,0.00708
concession,cónçeŝŝ0ìòn,8895,0.00708
consolidated,cónsolídâtéd,8896,0.00708
pillow,pill0ôw0,8897,0.00708
geology,ĝêolóĝý,8898,0.00708
suspects,suspects,8899,0.00707
rub,rub,8900,0.00707
gel,ĝel,8902,0.00707
sutherland,suτħèŕlánd,8903,0.00707
perspectives,pèŕspectivèś,8904,0.00707
sometime,sőmètîmè,8905,0.00707
oriental,ør#ïentál,8906,0.00707
pathetic,páπħetic,8907,0.00707
glancing,glançiñg0,8908,0.00706
cafe,cafĕ,8909,0.00706
energetic,enèŕĝetic,8910,0.00706
hurd,hùŕd,8911,0.00706
gareth,gãrėπħ,8912,0.00706
handkerchief,hañd0kèŕĉħièf,8913,0.00706
orbit,ør#bít,8914,0.00706
masculine,mascûlínè,8915,0.00706
bending,bendiñg0,8916,0.00706
stack,stack0,8917,0.00706
cumulative,cûmûlátivè,8918,0.00706
jessica,jess0icá,8919,0.00705
admiral,admìŕál,8922,0.00705
morse,mør#sè,8923,0.00705
gripped,gripp0èð,8924,0.00705
unsuitable,unsüìtáblè,8925,0.00705
luckily,luck0ílý,8926,0.00705
packs,pack0s,8927,0.00704
fairness,fãìŕnéss0,8928,0.00704
scholar,scħolàŕ,8929,0.00704
unstable,unstâblè,8930,0.00704
baths,baπħs,8931,0.00704
glue,glüè,8932,0.00704
guerrillas,gùèŕrill0áś,8933,0.00703
contradictions,contrádicţìònś,8935,0.00703
contrasting,cóntrastiñg0,8936,0.00703
endeavour,ėndeàvòùŕ,8937,0.00703
chess,ĉħess0,8938,0.00702
highland,hîg0ħlánd,8939,0.00702
adjustments,ádjustménts,8940,0.00702
breakthrough,brèâkπħröùg0ħ,8941,0.00702
handles,handlèś,8942,0.00702
boiled,bσìlèd,8943,0.00702
stalls,ståll0ś,8944,0.00702
contractor,contractòŕ,8945,0.00701
dietary,dîétãrý,8946,0.00701
archive,ārcħîvè,8948,0.00701
summons,summ0ónś,8949,0.00701
terrorism,terr0óriśm,8950,0.00701
factions,facţìònś,8951,0.00701
auckland,āùck0lánd,8952,0.00701
resemblance,rėśemblánçè,8953,0.00701
internationally,intèŕnaţìònáll0ý,8955,0.00701
lang,lañg0,8956,0.007
sailors,sâìlòŕś,8957,0.007
quotes,qυôtès,8958,0.007
incorrect,incòŕrect,8960,0.007
runner,runn0èŕ,8961,0.007
reproduced,rêpródüçèð,8963,0.00699
marco,mārcô,8964,0.00699
thanked,πħañkèð,8965,0.00699
madonna,mádonn0á,8966,0.00699
dances,dançėś,8967,0.00699
da,dā,8968,0.00699
doreen,dør#êèn,8969,0.00699
buffer,buff0èŕ,8970,0.00699
crosses,crøss0ėś,8971,0.00698
registers,reĝístèŕś,8972,0.00698
exempt,ėxempt,8973,0.00698
charlton,ĉħārltón,8974,0.00698
chemist,cħemist,8975,0.00698
examines,ėxamínèś,8976,0.00698
finely,fînèlý,8977,0.00698
lodged,lodĝèd,8978,0.00698
paisley,pâìślêy0,8979,0.00697
retains,rėtâìnś,8980,0.00697
chef,ćħef,8982,0.00697
charitable,ĉħarítáblè,8983,0.00697
macintosh,macíntøŝħ,8984,0.00697
prosperous,prosperòús,8985,0.00697
reassuring,rêásŝūriñg0,8986,0.00697
assert,áss0èŕt,8987,0.00696
spectators,spectâtòŕś,8988,0.00696
tendencies,tendénçïèś,8989,0.00696
clinging,cliñg0iñg0,8990,0.00696
halifax,halifax,8991,0.00696
mucosal,mûcôsál,8992,0.00696
realisation,rêàlíśâţìòn,8993,0.00696
objected,óbjectéd,8994,0.00696
doubted,dõùb0tėd,8995,0.00696
acquisitions,acqυíśiţìònś,8996,0.00695
residual,rėśiδüál,8997,0.00695
powered,põw0èŕèd,8998,0.00695
guinea,gùinêà,8999,0.00695
spun,spun,9000,0.00695
alain,álâìn,9001,0.00695
emotionally,ėmôţìònáll0ý,9002,0.00695
cord,cør#d,9003,0.00695
ramsey,ramśêy0,9004,0.00695
telephoned,teléþħônèd,9005,0.00695
contingent,cóntinĝént,9006,0.00695
partnerships,pārtnèŕŝħips,9007,0.00694
lindsey,lindśêy0,9008,0.00694
hid,hid,9009,0.00694
fabulous,fabûlòús,9010,0.00694
repression,rêpreŝŝ0ìòn,9011,0.00693
interestingly,intérestiñg0lý,9012,0.00693
picnic,picnic,9013,0.00693
exams,ėxamś,9014,0.00693
selfish,selfiŝħ,9015,0.00693
feminism,feminiśm,9016,0.00693
knot,k0not,9017,0.00693
spiral,spîrál,9018,0.00693
hedges,hedĝėś,9019,0.00692
joins,jσìnś,9020,0.00692
aftermath,aftèŕmaπħ,9021,0.00692
cellar,çell0àŕ,9022,0.00692
filthy,filπħý,9023,0.00692
lawson,låw0són,9024,0.00692
e,ê,9026,0.00692
painfully,pâìnfull0ý,9027,0.00691
particle,pārtíclè,9028,0.00691
boiler,bσìlèŕ,9029,0.00691
rogers,roĝèŕś,9030,0.00691
competitions,compétiţìònś,9031,0.00691
wander,wāndèŕ,9032,0.00691
founding,fõùndiñg0,9033,0.00691
comprise,cómprîśè,9034,0.00691
idle,îdlè,9035,0.00691
fights,fîg0ħts,9036,0.00691
surveyed,sùŕveyèd,9037,0.00691
substitution,substitüţìòn,9038,0.0069
para,pãrá,9040,0.0069
depot,dêpôt0,9041,0.0069
imposition,impóśiţìòn,9042,0.0069
transferring,transfèŕr0iñg0,9044,0.0069
oppression,ópp0reŝŝ0ìòn,9045,0.0069
nets,nets,9046,0.0069
relaxing,rėlaxiñg0,9047,0.0069
investigators,investígâtòŕś,9048,0.0069
gooch,göòĉħ,9049,0.0069
inward,inwàŕd,9050,0.00689
hardship,hārdŝħip,9051,0.00689
malaysia,málây0ŝiá,9052,0.00689
uneven,unêvén,9053,0.00689
induction,inducţìòn,9054,0.00689
arbitration,ārbitrâţìòn,9055,0.00689
rugs,rugś,9056,0.00689
robson,robsón,9057,0.00689
volcanic,volcanic,9058,0.00689
contention,cóntenţìòn,9059,0.00689
dee,dêè,9060,0.00689
dana,dâná,9061,0.00689
disabilities,disábilitïèś,9062,0.00689
mint,mint,9063,0.00689
descriptive,dėscriptivè,9064,0.00688
stamps,stamps,9066,0.00688
rewarding,rėwårdiñg0,9067,0.00688
sexes,sexėś,9068,0.00688
helmet,helmét,9069,0.00688
utter,utt0èŕ,9070,0.00688
attorney,átt0òŕnêy0,9071,0.00688
resistant,rėśistánt,9072,0.00688
administrator,ádminístrâtòŕ,9073,0.00687
rulers,rülèŕś,9074,0.00687
anthropology,anπħrópolóĝý,9075,0.00687
reproductive,rêpróductivè,9076,0.00687
ribs,ribś,9077,0.00687
conceal,cónçêàl,9078,0.00687
releasing,rêlêàsiñg0,9079,0.00687
learners,lèàŕnèŕś,9080,0.00687
aerial,ãèrïál,9081,0.00687
conveyed,cónveyèd,9082,0.00686
demise,dėmîśè,9084,0.00686
fellows,fell0ôwś,9085,0.00686
tempting,temptiñg0,9086,0.00686
mock,mock0,9087,0.00686
naughty,nåùg0ħtý,9088,0.00686
carlisle,cārlîs0lè,9089,0.00686
fixing,fixiñg0,9090,0.00686
lab,lab,9091,0.00686
hudson,hudsón,9092,0.00686
diving,dîviñg0,9093,0.00686
peg,peg,9094,0.00685
voyage,vσyáĝè,9095,0.00685
vet,vet,9096,0.00685
foam,fôàm,9097,0.00685
roofs,röòfs,9098,0.00685
dumping,dumpiñg0,9099,0.00685
delta,deltá,9100,0.00685
cracks,crack0s,9101,0.00685
discomfort,discómfòŕt,9102,0.00685
accelerated,acçelérâtėd,9103,0.00685
depressing,dėpress0iñg0,9104,0.00684
leas,lêàś,9105,0.00684
alteration,åltérâţìòn,9107,0.00684
servers,sèŕvèŕś,9109,0.00684
censorship,çensòŕŝħip,9110,0.00684
mansion,manŝìòn,9111,0.00684
discoveries,discővérïèś,9112,0.00684
upgrade,upgrâdè,9113,0.00683
virtues,vìŕťüèś,9114,0.00683
gavin,gavin,9115,0.00683
susceptible,susc0eptíblè,9116,0.00683
drastic,drastic,9117,0.00683
morrison,mør#r0isón,9118,0.00683
griffiths,griff0iπħs,9119,0.00683
monsieur,món0sĩèùŕ,9120,0.00683
disclose,disclôśè,9121,0.00683
fountain,fõùntáìn,9122,0.00682
cares,cãrèś,9123,0.00682
globe,glôbè,9124,0.00682
gentry,ĝentrý,9125,0.00682
stumbled,stumblèd,9126,0.00682
mob,mob,9127,0.00682
trucks,truck0s,9128,0.00682
freshly,freŝħlý,9129,0.00682
min,min,9130,0.00682
flourish,flòuriŝħ,9131,0.00682
processors,proçess0òŕś,9132,0.00682
